Date,Species,Antibody_status
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
25/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
26/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
27/09/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
23/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
