ID,Date,Date_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03910,11/5/2019,5/11/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Adulte immature,,,,MalImm,175,111,200,manquant,0,77,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,1,0,0,8,4,3,1,6,280,2,37,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03923,11/5/2019,5/11/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Femelle,Juvénile,0,0,0,FemJuv,160,109,200,manquant,0,76,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,1,1,2,4,2,4,1,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03927,11/5/2019,5/11/2019,7-May-19,Mai,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.86399,,E,11.48763,,,Male,Juvénile,,,,MalJuv,,108,185,,0,75,Gris,Gris,,,,,,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,4,0,0,5,0,4,2,0,9,5,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03933,12/6/2019,6/12/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Juvénile,0,0,0,FemJuv,175,100,205,undefined,0,80,GRIS,GRIS,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,6,4,2,21,5,11,23,4,210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03964,12/6/2019,6/12/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,190,104,205,undefined,0,78,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,0,0,1,1,5,4,4,36,2,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03983,15/06/2019,6/15/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Adulte,0,0,0,FemAd,309,122,235,undefined,0,88,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,11,107,5,3,69,11,13,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03985,17/06/2019,6/17/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,195,110,225,undefined,10,80,Jaune,Jaune,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,11,1,0,131,106,7,10,1553,21,301,10,1703,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03992,17/06/2019,6/17/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,190,110,215,GRAND,0,80,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,14,0,0,9,6,4,5,8,18,20,66,212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03993,17/06/2019,6/17/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,190,114,210,undefined,0,82,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,17,0,0,2,5,9,17,4,14,2,19,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03995,18/06/2019,6/18/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,165,110,200,undefined,0,74,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,39,0,0,1,1,5,11,5,11,1,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
