ID,Dat_EC,Site Region,Site Precis,Age,Gestante,Lactation,Res1GP-ZEBVkiss,Juvinile
CCCA03917,2019-05-11,Yaound̩,Mvog-Betsi,A,0,1,1,0
CCCA03918,2019-05-11,Yaound̩,Mvog-Betsi,A,0,1,0,0
CCCA03368,2018-12-06,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03399,2018-12-10,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03400,2018-12-10,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03401,2018-12-10,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03418,2018-12-11,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03420,2018-12-11,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03421,2018-12-11,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03422,2018-12-11,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03633,2019-03-28,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03641,2019-03-28,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03665,2019-03-29,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03700,2019-04-02,Yaounde,Mvog-Betsi,A,0,0,1,0
CCCA03701,2019-04-02,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03715,2019-04-02,Yaounde,Mvog-Betsi,A,0,0,0,0
CCCA03749,2019-04-05,Obala,Mfomakap,A,0,0,0,0
CCCA03751,2019-04-05,Obala,Mfomakap,A,0,0,1,0
CCCA03768,2019-05-03,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA03809,2019-05-04,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA03813,2019-05-04,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA03827,2019-05-04,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA03855,2019-05-07,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA03901,2019-05-10,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04001,2019-06-18,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04006,2019-06-19,Obala,Mfomakap,A,0,0,1,0
CCCA04025,2019-06-20,Obala,Mfomakap,A,0,0,1,0
CCCA04040,2019-07-13,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04061,2019-07-15,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04072,2019-07-16,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04075,2019-07-16,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04082,2019-07-16,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04087,2019-07-16,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04095,2019-07-16,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04096,2019-07-17,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04113,2019-07-17,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04119,2019-07-18,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04151,2019-07-20,Obala,Mfomakap,A,0,0,1,0
CCCA04159,2019-07-20,Obala,Mfomakap,A,0,0,0,0
CCCA04169,2019-07-21,Obala,Mfomakap,A,0,0,1,0
CCCA04176,2019-07-21,Obala,Mfomakap,A,0,0,0,0
CCCA04177,2019-07-21,Obala,Mfomakap,A,0,0,0,0
CCCA04178,2019-07-21,Obala,Mfomakap,A,0,0,0,0
CCCA04209,2019-09-17,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04333,2019-10-11,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04271,2019-10-22,Obala,Mfomakap,A,0,0,1,0
CCCA04373,2019-10-31,Yaound̩,Mvog-Betsi,A,0,0,0,0
CCCA04383,2019-11-04,Obala,Mfomakap,A,0,0,1,0
CCCA04404,2019-11-04,Obala,Mfomakap,A,0,0,0,0
CCCA04429,2019-11-06,Obala,Mfomakap,A,0,0,1,0
CCCA04441,2019-11-22,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04470,2019-11-26,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04477,2019-11-27,Yaound̩,Mvog-Betsi,A,0,0,1,0
CCCA04512,2019-11-29,Obala,Mfomakap,A,0,0,0,0
CCCA04495,2019-11-29,Obala,Mfomakap,A,1,0,1,0
CCCA04497,2019-11-29,Obala,Mfomakap,A,1,0,0,0
CCCA04510,2019-11-29,Obala,Mfomakap,A,1,0,0,0
CCCA04528,2019-11-30,Obala,Mfomakap,A,1,0,0,0
CCCA04537,2019-11-30,Obala,Mfomakap,A,1,0,0,0
CCCA04543,2019-11-30,Obala,Mfomakap,A,1,0,1,0
CCCA03639,2019-03-28,Yaounde,Mvog-Betsi,A,,0,0,0
CCCA04250,2019-09-21,Obala,Mfomakap,A,,0,0,0
CCCA04256,2019-09-21,Obala,Mfomakap,A,,0,1,0
CCCA04295,2019-10-09,Yaound̩,Mvog-Betsi,A,,0,1,0
CCCA04334,2019-10-11,Yaound̩,Mvog-Betsi,A,,0,0,0
CCCA04336,2019-10-11,Yaound̩,Mvog-Betsi,A,,0,0,0
CCCA04269,2019-10-22,Obala,Mfomakap,A,,0,1,0
CCCA04273,2019-10-22,Obala,Mfomakap,A,,0,1,0
CCCA04281,2019-10-22,Obala,Mfomakap,A,,0,0,0
CCCA04284,2019-10-22,Obala,Mfomakap,A,,0,0,0
CCCA04384,2019-11-04,Obala,Mfomakap,A,,0,0,0
CCCA04388,2019-11-04,Obala,Mfomakap,A,,0,0,0
CCCA04389,2019-11-04,Obala,Mfomakap,A,,0,0,0
CCCA04403,2019-11-04,Obala,Mfomakap,A,,0,1,0
CCCA04407,2019-11-04,Obala,Mfomakap,A,,0,0,0
CCCA04418,2019-11-05,Obala,Mfomakap,A,,0,0,0
CCCA04432,2019-11-06,Obala,Mfomakap,A,,0,0,0
CCCA04434,2019-11-06,Obala,Mfomakap,A,,0,1,0
CCCA04437,2019-11-22,Yaound̩,Mvog-Betsi,A,,0,1,0
CCCA04501,2019-11-29,Obala,Mfomakap,A,,0,0,0
CCCA04530,2019-11-30,Obala,Mfomakap,A,,0,0,0
CCCA04345,2019-10-14,Yaound̩,Mvog-Betsi,A,0,,0,0
CCCA03348,2018-12-05,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03359,2018-12-05,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03367,2018-12-06,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03397,2018-12-10,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03404,2018-12-10,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03405,2018-12-10,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03628,2019-03-28,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03661,2019-03-29,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03664,2019-03-29,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03683,2019-04-01,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03684,2019-04-01,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03686,2019-04-01,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03704,2019-04-02,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03705,2019-04-02,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03714,2019-04-02,Yaounde,Mvog-Betsi,A,,,1,0
CCCA03718,2019-04-02,Yaounde,Mvog-Betsi,A,,,0,0
CCCA03722,2019-04-04,Obala,Mfomakap,A,,,0,0
CCCA03726,2019-04-04,Obala,Mfomakap,A,,,1,0
CCCA03732,2019-04-04,Obala,Mfomakap,A,,,0,0
CCCA03737,2019-04-04,Obala,Mfomakap,A,,,1,0
CCCA03740,2019-04-05,Obala,Mfomakap,A,,,1,0
CCCA03743,2019-04-05,Obala,Mfomakap,A,,,1,0
CCCA03748,2019-04-05,Obala,Mfomakap,A,,,1,0
CCCA03755,2019-04-05,Obala,Mfomakap,A,,,1,0
CCCA03756,2019-04-05,Obala,Mfomakap,A,,,1,0
CCCA03799,2019-05-04,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA03848,2019-05-07,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA03852,2019-05-07,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA03863,2019-05-07,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA03892,2019-05-10,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA03945,2019-06-12,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA03984,2019-06-15,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA03986,2019-06-17,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA03997,2019-06-18,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04004,2019-06-19,Obala,Mfomakap,A,,,1,0
CCCA04026,2019-06-20,Obala,Mfomakap,A,,,1,0
CCCA04027,2019-06-20,Obala,Mfomakap,A,,,0,0
CCCA04063,2019-07-15,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04069,2019-07-16,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04070,2019-07-16,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04071,2019-07-16,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04080,2019-07-16,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04084,2019-07-16,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04097,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04098,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04099,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04104,2019-07-17,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04107,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04112,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04115,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04116,2019-07-17,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04140,2019-07-18,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04142,2019-07-18,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04147,2019-07-18,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04148,2019-07-18,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04152,2019-07-20,Obala,Mfomakap,A,,,0,0
CCCA04153,2019-07-20,Obala,Mfomakap,A,,,0,0
CCCA04156,2019-07-20,Obala,Mfomakap,A,,,0,0
CCCA04175,2019-07-21,Obala,Mfomakap,A,,,0,0
CCCA04191,2019-09-14,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04201,2019-09-16,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04202,2019-09-17,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04220,2019-09-17,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04230,2019-09-20,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04251,2019-09-21,Obala,Mfomakap,A,,,1,0
CCCA04253,2019-09-21,Obala,Mfomakap,A,,,1,0
CCCA04254,2019-09-21,Obala,Mfomakap,A,,,0,0
CCCA04255,2019-09-21,Obala,Mfomakap,A,,,1,0
CCCA04258,2019-09-21,Obala,Mfomakap,A,,,1,0
CCCA04263,2019-09-21,Obala,Mfomakap,A,,,1,0
CCCA04290,2019-10-09,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04300,2019-10-09,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04306,2019-10-09,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04307,2019-10-09,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04311,2019-10-10,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04313,2019-10-10,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04318,2019-10-10,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04320,2019-10-10,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04323,2019-10-11,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04327,2019-10-11,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04332,2019-10-11,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04335,2019-10-11,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04343,2019-10-14,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04268,2019-10-22,Obala,Mfomakap,A,,,0,0
CCCA04272,2019-10-22,Obala,Mfomakap,A,,,0,0
CCCA04275,2019-10-22,Obala,Mfomakap,A,,,1,0
CCCA04276,2019-10-22,Obala,Mfomakap,A,,,1,0
CCCA04282,2019-10-22,Obala,Mfomakap,A,,,1,0
CCCA04361,2019-10-29,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04369,2019-10-31,Yaound̩,Mvog-Betsi,A,,,0,0
CCCA04385,2019-11-04,Obala,Mfomakap,A,,,0,0
CCCA04387,2019-11-04,Obala,Mfomakap,A,,,0,0
CCCA04393,2019-11-04,Obala,Mfomakap,A,,,0,0
CCCA04394,2019-11-04,Obala,Mfomakap,A,,,1,0
CCCA04395,2019-11-04,Obala,Mfomakap,A,,,0,0
CCCA04402,2019-11-04,Obala,Mfomakap,A,,,1,0
CCCA04410,2019-11-05,Obala,Mfomakap,A,,,0,0
CCCA04411,2019-11-05,Obala,Mfomakap,A,,,0,0
CCCA04416,2019-11-05,Obala,Mfomakap,A,,,1,0
CCCA04417,2019-11-05,Obala,Mfomakap,A,,,0,0
CCCA04428,2019-11-06,Obala,Mfomakap,A,,,0,0
CCCA04430,2019-11-06,Obala,Mfomakap,A,,,0,0
CCCA04435,2019-11-06,Obala,Mfomakap,A,,,1,0
CCCA04444,2019-11-22,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04450,2019-11-22,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04459,2019-11-23,Yaound̩,Mvog-Betsi,A,,,1,0
CCCA04503,2019-11-29,Obala,Mfomakap,A,,,1,0
CCCA04507,2019-11-29,Obala,Mfomakap,A,,,0,0
CCCA04509,2019-11-29,Obala,Mfomakap,A,,,1,0
CCCA04516,2019-11-29,Obala,Mfomakap,A,,,0,0
CCCA04522,2019-11-29,Obala,Mfomakap,A,,,0,0
CCCA04524,2019-11-30,Obala,Mfomakap,A,,,0,0
CCCA04531,2019-11-30,Obala,Mfomakap,A,,,0,0
CCCA04533,2019-11-30,Obala,Mfomakap,A,,,0,0
CCCA04534,2019-11-30,Obala,Mfomakap,A,,,0,0
CCCA04536,2019-11-30,Obala,Mfomakap,A,,,1,0
CCCA04545,2019-11-30,Obala,Mfomakap,A,,,0,0
CCCA04508,2019-11-29,Obala,Mfomakap,AI,0,1,1,0
CCCA03413,2018-12-11,Yaounde,Mvog-Betsi,AI,0,0,0,0
CCCA03419,2018-12-11,Yaounde,Mvog-Betsi,AI,0,0,0,0
CCCA04041,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04042,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04043,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04044,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04045,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04047,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04048,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04049,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04050,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04054,2019-07-13,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04059,2019-07-15,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04060,2019-07-15,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04065,2019-07-15,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04068,2019-07-16,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04073,2019-07-16,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04077,2019-07-16,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04090,2019-07-16,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04092,2019-07-16,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04094,2019-07-16,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04101,2019-07-17,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04102,2019-07-17,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04108,2019-07-17,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04109,2019-07-17,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04110,2019-07-17,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04120,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04123,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04125,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04127,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04130,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04131,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04133,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04134,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04136,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04143,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04144,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04145,2019-07-18,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04161,2019-07-20,Obala,Mfomakap,AI,0,0,0,0
CCCA04162,2019-07-20,Obala,Mfomakap,AI,0,0,1,0
CCCA04168,2019-07-20,Obala,Mfomakap,AI,0,0,0,0
CCCA04172,2019-07-21,Obala,Mfomakap,AI,0,0,0,0
CCCA04174,2019-07-21,Obala,Mfomakap,AI,0,0,0,0
CCCA04181,2019-09-14,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04188,2019-09-14,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04192,2019-09-14,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04193,2019-09-14,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04207,2019-09-17,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04212,2019-09-17,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04218,2019-09-17,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04231,2019-09-20,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04232,2019-09-20,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04244,2019-09-21,Obala,Mfomakap,AI,0,0,1,0
CCCA04257,2019-09-21,Obala,Mfomakap,AI,0,0,0,0
CCCA04286,2019-10-02,Obala,Mfomakap,AI,0,0,1,0
CCCA04297,2019-10-09,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04298,2019-10-09,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04299,2019-10-09,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04303,2019-10-09,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04317,2019-10-10,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04322,2019-10-10,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04325,2019-10-11,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04326,2019-10-11,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04328,2019-10-11,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04241,2019-10-14,Obala,Mfomakap,AI,0,0,1,0
CCCA04342,2019-10-14,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04274,2019-10-22,Obala,Mfomakap,AI,0,0,0,0
CCCA04283,2019-10-22,Obala,Mfomakap,AI,0,0,1,0
CCCA04371,2019-10-31,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04372,2019-10-31,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04376,2019-11-01,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04377,2019-11-01,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04378,2019-11-01,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04380,2019-11-01,Yaound̩,Mvog-Betsi,AI,0,0,0,0
CCCA04431,2019-11-06,Obala,Mfomakap,AI,0,0,1,0
CCCA04436,2019-11-06,Obala,Mfomakap,AI,0,0,1,0
CCCA04446,2019-11-22,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04447,2019-11-22,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04451,2019-11-22,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04453,2019-11-22,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04455,2019-11-22,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04456,2019-11-23,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04462,2019-11-23,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04463,2019-11-23,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04465,2019-11-23,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04468,2019-11-25,Yaound̩,Mvog-Betsi,AI,0,0,1,0
CCCA04475,2019-11-27,Yaound̩,Mvog-Betsi,AI,0,0,1,0
