ID,Date,Dat_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03464,20/01/2019,1/20/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,195,120,210,grands,5,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,5,1,0,163,140,5,0,570,10,119,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03465,20/01/2019,1/20/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,225,114,230,grands,17,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,1,0,538,497,4,17,2021,7,377,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03466,20/01/2019,1/20/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,170,115,205,grands,12,76,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,6,1,0,218,185,6,6,803,46,122,13,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03467,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,200,119,230,grands,12,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,3,0,0,24,24,6,1,182,5,14,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03468,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,300,113,223,grands,13,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,5,0,0,98,99,5,0,699,31,71,7,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03469,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,200,116,230,grands,18,83,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,1,0,79,1,0,470,439,8,1,1554,37,287,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03470,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,215,114,220,grands,18,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,5,1,0,247,241,4,1,858,11,162,11,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03471,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,195,109,224,grands,15,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,0,0,16,16,4,1,95,6,11,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03472,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,195,109,224,grands,15,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,7,1,0,539,423,18,41,2028,14,233,27,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03473,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,240,125,230,grands,17,84,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,1,1,0,317,307,5,12,1492,22,192,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03474,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,1,0,0,FemAdGest,315,125,240,grands,11,84,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,18,1,0,345,607,17,15,1172,7,384,9,18,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03475,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,175,110,218,grands,16,71,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,3,1,0,136,115,4,3,392,6,89,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03476,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,180,115,210,grands,15,78,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,2,1,0,167,128,9,2,536,9,89,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03477,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,265,125,230,grands,13,84,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,0,0,27,23,7,0,83,64,17,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03478,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,215,116,245,grands,18,81,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,16,0,0,72,106,4,1,771,24,58,12,5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03479,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,290,121,230,grands,18,-,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,1,0,0,31,30,3,0,109,14,19,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03480,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,245,111,,grands,16,76,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,0,0,0,11,10,6,3,38,8,9,19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03481,21/01/2019,1/21/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,200,116,218,grands,10,76,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,5,0,0,35,45,6,3,163,54,24,14,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03482,22/01/2019,1/22/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,175,106,205,grands,9,72,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,6,1,0,230,182,2,16,1132,12,127,2,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03483,22/01/2019,1/22/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,190,115,215,grands,12,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,1,1,0,256,225,2,1,1005,113,143,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03484,22/01/2019,1/22/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,1,0,0,FemAdGest,265,121,230,grands,10,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,2,0,0,23,20,3,0,96,3,15,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03485,22/01/2019,1/22/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,210,115,225,grands,18,77,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,0,0,63,46,2,5,203,9,38,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03486,22/01/2019,1/22/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,205,112,220,grands,11,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,1,0,147,107,3,7,941,9,73,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03487,23/01/2019,1/23/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,235,118,245,grands,18,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,8,1,0,477,396,5,7,2008,8,227,5,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03488,23/01/2019,1/23/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,190,117,225,grands,12,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,1,0,494,417,6,11,1915,9,241,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03490,23/01/2019,1/23/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,220,116,225,grands,18,80,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,6,1,0,300,275,4,5,896,38,192,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03492,23/01/2019,1/23/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,190,111,215,grands,15,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,2,1,0,146,127,5,0,549,6,80,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03493,23/01/2019,1/23/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,,,,,MalAd,185,113,220,grands,16,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,0,0,77,72,4,16,618,10,42,12,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA03494,23/01/2019,1/23/2019,26-Jan-19,Janvier-Fevrier,Innocent,Cameroun,Yaounde,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,170,113,215,grands,13,75,Jaune,Jaune,,Autre,Ville,0,Filet,Eidolon,helvum,Eidolon helvum,,,0,0,4,0,0,123,126,5,23,860,25,68,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
